seed_index,seed_base,maturity,n_int,n_bd,sigma_f,ell_t,ell_x,log_sigma_f,log_ell_t,log_ell_x,initial_sigma_f,fixed_sigma_f,initial_ell_t,initial_ell_x,objective_value,success,nit,nfev
12,20380701,2.5,800,800,1.0,0.5480631923908734,0.18355574959937282,,-0.6013646841004511,-1.6952368450985515,100.0,1.0,0.8,1.2,0.01843998020357856,True,65,116
12,20380701,3.0,800,800,1.0,0.8502492203800746,0.17180041088982628,,-0.1622257720254795,-1.7614218777594854,100.0,1.0,0.8,1.2,0.03759497005774524,True,66,121
13,20390701,0.5,800,800,1.0,0.2938901767608531,0.10946549783983509,,-1.2245491298625233,-2.212145867596989,100.0,1.0,0.8,1.2,0.017148091903543706,True,51,97
13,20390701,1.0,800,800,1.0,0.39919998501040044,0.24756785411125729,,-0.918292772093926,-1.396070576522554,100.0,1.0,0.8,1.2,0.029621040598652622,True,53,105
13,20390701,1.5,800,800,1.0,0.642300642640208,0.2984622255866452,,-0.4426987941892192,-1.209111901605709,100.0,1.0,0.8,1.2,0.04662683512921957,True,69,126
13,20390701,2.0,800,800,1.0,0.2229450891960552,0.2835878421878577,,-1.500829774632264,-1.2602333548204618,100.0,1.0,0.8,1.2,0.0943431399598473,True,47,92
13,20390701,2.5,800,800,1.0,0.5351715401508497,0.17839028843727425,,-0.6251679476828214,-1.7237814973287704,100.0,1.0,0.8,1.2,0.029625327652018033,True,64,121
13,20390701,3.0,800,800,1.0,2.0601758793886815,0.1701825356714932,,0.7227913575009866,-1.770883678733468,100.0,1.0,0.8,1.2,0.047435651268750226,True,38,67
14,20400701,0.5,800,800,1.0,0.6428428957334161,0.12729395652968573,,-0.441854914717088,-2.061256248782275,100.0,1.0,0.8,1.2,0.02220106884503994,True,82,154
14,20400701,1.0,800,800,1.0,0.5843022649736822,0.16393441950817655,,-0.5373368530409615,-1.8082888121793894,100.0,1.0,0.8,1.2,0.027276973074374565,True,72,137
14,20400701,1.5,800,800,1.0,0.42211454287025685,0.21541733446899347,,-0.8624785731736997,-1.5351780417829268,100.0,1.0,0.8,1.2,0.02061263601399573,True,87,165
14,20400701,2.0,800,800,1.0,0.6936345246307157,0.19633034074436023,,-0.36581007875874716,-1.627956626503484,100.0,1.0,0.8,1.2,0.01929820777931403,True,68,132
14,20400701,2.5,800,800,1.0,0.5946726455216199,0.1767672089975371,,-0.5197442004325499,-1.7329216154511273,100.0,1.0,0.8,1.2,0.0253760121802616,True,65,111
14,20400701,3.0,800,800,1.0,0.6436208259543637,0.16535862398284681,,-0.440645505850512,-1.799638684985489,100.0,1.0,0.8,1.2,0.03493379508961322,True,53,105
15,20410701,0.5,800,800,1.0,0.32918987201121164,0.12601150313307308,,-1.1111205761105336,-2.071382081490838,100.0,1.0,0.8,1.2,0.01631598947853567,True,44,87
15,20410701,1.0,800,800,1.0,0.3439169756516795,0.5778753911917218,,-1.0673550005880696,-0.5483970197252909,100.0,1.0,0.8,1.2,0.14891973023601765,True,37,71
15,20410701,1.5,800,800,1.0,0.5998271036468642,0.22797596304709813,,-0.5111138258807904,-1.4785150808173524,100.0,1.0,0.8,1.2,0.04551774012759109,True,33,63
15,20410701,2.0,800,800,1.0,0.7096031861174701,0.19786768396725446,,-0.34304935797786484,-1.6201567344663517,100.0,1.0,0.8,1.2,0.03197758890253209,True,71,130
15,20410701,2.5,800,800,1.0,0.7087975100092556,0.15680308457712847,,-0.34418539266406223,-1.8527644992113086,100.0,1.0,0.8,1.2,0.028273408721732084,True,76,138
15,20410701,3.0,800,800,1.0,0.6207776949393259,0.275880797317475,,-0.47678224030222127,-1.2877864003352317,100.0,1.0,0.8,1.2,0.061621556881036675,True,40,77
16,20420701,0.5,800,800,1.0,0.3027702647694081,0.13188518020371787,,-1.1947809631344992,-2.0258235818736767,100.0,1.0,0.8,1.2,0.008274808113404567,True,72,127
16,20420701,1.0,800,800,1.0,1.2660865418386957,0.1423564049509921,,0.2359306798680319,-1.949421471883289,100.0,1.0,0.8,1.2,0.04139809464081355,True,52,98
16,20420701,1.5,800,800,1.0,0.488939081064796,0.1682292160597928,,-0.7155173758674225,-1.7824278481930151,100.0,1.0,0.8,1.2,0.01493464686721016,True,71,131
16,20420701,2.0,800,800,1.0,0.6155906088124041,0.2055520186462011,,-0.48517313247425087,-1.5820561449800696,100.0,1.0,0.8,1.2,0.03006770144160375,True,37,73
16,20420701,2.5,800,800,1.0,1.0773683518313957,0.16766774549550317,,0.07452135625646336,-1.7857709632043899,100.0,1.0,0.8,1.2,0.031317708697365554,True,67,127
16,20420701,3.0,800,800,1.0,0.31018953984421954,0.45484501238758573,,-1.170571749490976,-0.7877985501746797,100.0,1.0,0.8,1.2,0.12142079405689457,True,31,58
17,20430701,0.5,800,800,1.0,0.21105039924178065,0.15967382674296346,,-1.5556583150625465,-1.8346221273431391,100.0,1.0,0.8,1.2,0.00946362174566438,True,49,92
17,20430701,1.0,800,800,1.0,0.46426809594719576,0.1503680799739247,,-0.7672931006243353,-1.894669124207192,100.0,1.0,0.8,1.2,0.022187597427566815,True,50,93
17,20430701,1.5,800,800,1.0,0.5778356878031952,0.16944654931468556,,-0.5484657278812718,-1.7752177451689697,100.0,1.0,0.8,1.2,0.03642530498467381,True,38,72
17,20430701,2.0,800,800,1.0,0.6106784702718211,0.22713956752289097,,-0.49318469355523276,-1.4821906155316718,100.0,1.0,0.8,1.2,0.021073188114547385,True,69,127
