maturity,n_int,n_bd,sigma_f,ell_t,ell_x,log_sigma_f,log_ell_t,log_ell_x,initial_sigma_f,fixed_sigma_f,initial_ell_t,initial_ell_x,objective_value,success,nit,nfev
2.0,200,150,1.0,0.8088984538947671,1.0462807468364381,,-0.21208189032763367,0.04524173004702771,100.0,1.0,0.8,1.2,0.9550592545587621,True,54,108
2.0,400,300,1.0,1.358754426168972,0.16531481653033359,,0.3065684169780386,-1.7999036439897655,100.0,1.0,0.8,1.2,0.06083751258816533,True,85,164
2.0,600,450,1.0,1.5602122256448305,0.14962838259377975,,0.44482185408858066,-1.8996005082164815,100.0,1.0,0.8,1.2,0.05161440053132396,True,72,138
2.0,800,600,1.0,0.6246113441171642,0.1294969768956094,,-0.47062567208681183,-2.0440977425504787,100.0,1.0,0.8,1.2,0.021415671350163867,True,82,155
2.5,200,150,1.0,0.7854760415589364,0.24515955127762148,,-0.24146532263139792,-1.4058460506908794,100.0,1.0,0.8,1.2,0.07829007723696046,True,69,132
2.5,400,300,1.0,0.9490296344319938,0.21387815341321467,,-0.05231525385028487,-1.542348802690445,100.0,1.0,0.8,1.2,0.05059345993336562,True,72,139
2.5,600,450,1.0,1.1200980608692483,0.16301627904542507,,0.11341623582188826,-1.8139052117178698,100.0,1.0,0.8,1.2,0.038625310691967826,True,76,145
2.5,800,600,1.0,0.6369772459963199,0.16753770121471712,,-0.4510213446188948,-1.7865468711652335,100.0,1.0,0.8,1.2,0.022166151390413794,True,61,118
3.0,200,150,1.0,1.008643318959959,1.278824071434032,,0.008606179331635853,0.24594096148121675,100.0,1.0,0.8,1.2,1.7833820569719394,True,49,97
3.0,400,300,1.0,1.276274363528839,0.13331804416872872,,0.24394518024897555,-2.0150176958517614,100.0,1.0,0.8,1.2,0.0919550384296383,True,87,166
3.0,600,450,1.0,1.6604222088158624,0.12756919115702817,,0.507071912688999,-2.0590963858374884,100.0,1.0,0.8,1.2,0.06863420930437936,True,74,145
3.0,800,600,1.0,0.3373430884688236,0.32273517762314186,,-1.0866547998351237,-1.1309231755674822,100.0,1.0,0.8,1.2,0.10788143835436027,True,67,128
0.5,200,200,1.0,1.4804888738569981,1.064374059813484,,0.3923723534059735,0.06238688911180352,100.0,1.0,0.8,1.2,0.9615067775096072,True,58,118
0.5,400,400,1.0,0.3002324470164143,0.18955968855310043,,-1.2031982809585642,-1.6630513248831473,100.0,1.0,0.8,1.2,0.012937101902125167,True,85,173
0.5,600,600,1.0,0.23904458713293295,0.11071741176681912,,-1.4311051874086669,-2.2007741637695073,100.0,1.0,0.8,1.2,0.008038567051007481,True,86,171
0.5,800,800,1.0,0.22914237693458694,0.11403778656103067,,-1.4734117352851885,-2.171225424447051,100.0,1.0,0.8,1.2,0.010377585535681095,True,77,149
1.0,200,200,1.0,0.8157214233773248,0.2788081242512565,,-0.20368237522580446,-1.2772314604512625,100.0,1.0,0.8,1.2,0.0962252874586196,True,86,161
1.0,400,400,1.0,0.22355716108773516,0.31665591794573633,,-1.4980881433205313,-1.1499395269610018,100.0,1.0,0.8,1.2,0.07925095905957216,True,58,115
1.0,600,600,1.0,0.6740105638497049,0.17452781248552857,,-0.3945094948251413,-1.745671166168691,100.0,1.0,0.8,1.2,0.03738200782026923,True,91,176
1.0,800,800,1.0,0.5444907158633223,0.14502725051113222,,-0.6079043875105533,-1.9308336196595173,100.0,1.0,0.8,1.2,0.03015803374220994,True,91,185
1.5,200,200,1.0,1.2969737463134672,0.16874362558699246,,0.2600336632739768,-1.7793747242422686,100.0,1.0,0.8,1.2,0.0793653877697955,True,77,144
1.5,400,400,1.0,0.42112255716491737,0.14093284716722657,,-0.8648313780085641,-1.9594717632777119,100.0,1.0,0.8,1.2,0.024646021209690176,True,61,120
1.5,600,600,1.0,0.39631820926924893,0.13679354678998584,,-0.9255378316474177,-1.9892824474941713,100.0,1.0,0.8,1.2,0.018282958013829988,True,102,203
