maturity,n_int,n_bd,n_terminal,n_lower,n_upper,train_seed,tune_seed,mae,max_abs_error,mre_itm,optimization_time_sec,final_fit_time_sec,pricing_time_sec,total_time_sec,tuning_success,tuning_message,tuning_nit,tuning_nfev,tuning_objective_value
2.0,600,450,150,150,150,20260812,20260813,0.11283577002892642,0.15550524822526057,0.0035569114520730568,4.480095334001817,0.02316049998626113,0.00044124998385086656,4.503697083971929,True,Optimization terminated successfully.,72,138,0.05161440053132396
2.0,800,600,200,200,200,20260812,20260813,0.0745803589437619,0.09661582079733222,0.001995625544966395,9.303594791039359,0.043981291993986815,0.0005661670002155006,9.348142250033561,True,Optimization terminated successfully.,82,155,0.021415671350163867
2.5,200,150,50,50,50,20260912,20260913,0.027940947494934507,0.10338926044558061,0.0007189413923827931,0.467934874992352,0.0023319169995374978,0.00018454203382134438,0.4704513340257108,True,Optimization terminated successfully.,69,132,0.07829007723696046
2.5,400,300,100,100,100,20260912,20260913,0.03321340381194093,0.06384538151866082,0.0009217382197880898,1.8562064580037259,0.009320167009718716,0.00030016701202839613,1.865826792025473,True,Optimization terminated successfully.,72,139,0.05059345993336562
2.5,600,450,150,150,150,20260912,20260913,0.031195571087073395,0.058250082071630516,0.0009888516356147629,4.819167084002402,0.02330987498862669,0.00041612499626353383,4.842893083987292,True,Optimization terminated successfully.,76,145,0.038625310691967826
2.5,800,600,200,200,200,20260912,20260913,0.016074106976975405,0.04356562236139894,0.000378321522596246,7.191900542005897,0.04601004195865244,0.000622207997366786,7.238532791961916,True,Optimization terminated successfully.,61,118,0.022166151390413794
3.0,200,150,50,50,50,20261012,20261013,0.11274660790502303,0.2893209418358147,0.0012708511026544886,0.34564333298476413,0.003236417018342763,0.00023929198505356908,0.34911904198816046,True,Optimization terminated successfully.,49,97,1.7833820569719394
3.0,400,300,100,100,100,20261012,20261013,0.0691855791823771,0.11035668706312407,0.001557114748466461,2.3855337080312893,0.009710999962408096,0.0003516669967211783,2.3955963749904186,True,Optimization terminated successfully.,87,166,0.0919550384296383
3.0,600,450,150,150,150,20261012,20261013,0.055321501189443276,0.0924071650262448,0.0011397203049321608,5.603721500025131,0.026542042032815516,0.0005231249961070716,5.630786667054053,True,Optimization terminated successfully.,74,145,0.06863420930437936
3.0,800,600,200,200,200,20261012,20261013,0.021256692051586815,0.0933420429770706,0.0005437025447243688,10.280529958021361,0.06369362497935072,0.000710124964825809,10.344933707965538,True,Optimization terminated successfully.,67,128,0.10788143835436027
0.5,200,200,68,66,66,20260512,20260513,0.689300860207464,1.6483383997197547,0.023877695743700297,0.5639552909997292,0.003110208024736494,0.0002155840047635138,0.5672810830292292,True,Optimization terminated successfully.,58,118,0.9615067775096072
0.5,400,400,134,133,133,20260512,20260513,0.05656290460786408,0.13231921992032625,0.0033448762987868417,3.5718863750225864,0.015828458010219038,0.00036266702227294445,3.5880775000550784,True,Optimization terminated successfully.,85,173,0.012937101902125167
0.5,600,600,200,200,200,20260512,20260513,0.027688533328935092,0.06227125784781862,0.0014543114788076192,9.005424665985629,0.03559054201468825,0.0006387500325217843,9.041653958032839,True,Optimization terminated successfully.,86,171,0.008038567051007481
0.5,800,800,268,266,266,20260512,20260513,0.018615228235634676,0.045802803666205705,0.0009055293499299542,17.37849916703999,0.08981941599631682,0.0007085840334184468,17.469027167069726,True,Optimization terminated successfully.,77,149,0.010377585535681095
1.0,200,200,68,66,66,20260612,20260613,0.027501705879195558,0.06043447101637511,0.0008881164288428407,0.779128500027582,0.0031922500347718596,0.00029333302518352866,0.7826140830875374,True,Optimization terminated successfully.,86,161,0.0962252874586196
1.0,400,400,134,133,133,20260612,20260613,0.06631524456701254,0.08680075715039237,0.0022873017225841477,2.4266071670572273,0.015036875032819808,0.00035395799204707146,2.4419980000820942,True,Optimization terminated successfully.,58,115,0.07925095905957216
1.0,600,600,200,200,200,20260612,20260613,0.023422478297840672,0.03867602132840631,0.000884241709519686,9.574782124953344,0.03881424997234717,0.0005087500321678817,9.61410512495786,True,Optimization terminated successfully.,91,176,0.03738200782026923
1.0,800,800,268,266,266,20260612,20260613,0.013564988311164516,0.01908083022358653,0.0005942492033343715,21.631615249963943,0.09080983401509002,0.0008800420328043401,21.723305126011837,True,Optimization terminated successfully.,91,185,0.03015803374220994
1.5,200,200,68,66,66,20260712,20260713,0.01718998996681063,0.07691884525732462,0.00013022158824198838,0.7007173330057412,0.003349916951265186,0.0002733750152401626,0.7043406249722466,True,Optimization terminated successfully.,77,144,0.0793653877697955
1.5,400,400,134,133,133,20260712,20260713,0.035918640705598734,0.05589845557605955,0.0012523185097001455,2.5611133340280503,0.015205457981210202,0.0003545840154401958,2.5766733760247007,True,Optimization terminated successfully.,61,120,0.024646021209690176
